Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
301 Brisbane - East,1/11/10,30.31,301
302 Brisbane - North,1/11/10,34.29,302
303 Brisbane - South,1/11/10,38.59,303
304 Brisbane - West,1/11/10,49.25,304
305 Brisbane Inner City,1/11/10,49.58,305
310 Ipswich,1/11/10,22.38,310
311 Logan - Beaudesert,1/11/10,20.89,311
313 Moreton Bay - North,1/11/10,27.63,313
314 Moreton Bay - South,1/11/10,32.88,314
306 Cairns,1/11/10,23.47,306
307 Darling Downs - Maranoa,1/11/10,36.17,307
308 Fitzroy,1/11/10,24.2,308
309 Gold Coast,1/11/10,30.86,309
312 Mackay,1/11/10,22.46,312
315 Queensland - Outback,1/11/10,34.07,315
316 Sunshine Coast,1/11/10,32.08,316
317 Toowoomba,1/11/10,34.64,317
318 Townsville,1/11/10,25.64,318
319 Wide Bay,1/11/10,28.27,319
401 Adelaide - Central and Hills,1/11/10,46.75,401
402 Adelaide - North,1/11/10,25.28,402
403 Adelaide - South,1/11/10,33.4,403
404 Adelaide - West,1/11/10,29.82,404
405 Barossa - Yorke - Mid North,1/11/10,32.93,405
406 South Australia - Outback,1/11/10,31.68,406
407 South Australia - South East,1/11/10,31.65,407
502 Mandurah,1/11/10,18.94,502
503 Perth - Inner,1/11/10,52.86,503
504 Perth - North East,1/11/10,30.92,504
505 Perth - North West,1/11/10,31.66,505
506 Perth - South East,1/11/10,29.16,506
507 Perth - South West,1/11/10,33.17,507
501 Bunbury,1/11/10,21.1,501
508 Western Australia - Outback,1/11/10,27.59,508
509 Western Australia - Wheat Belt,1/11/10,41.33,509
601 Hobart,1/11/10,36.7,601
602 Launceston and North East,1/11/10,29.94,602
603 Tasmania - South East,1/11/10,33.6,603
604 Tasmania - West and North West,1/11/10,24.56,604
701 Darwin,1/11/10,33.39,701
702 Northern Territory - Outback,1/11/10,30.99,702
801 Australian Capital Territory,1/11/10,45.34,801
102 Central Coast,1/11/11,30.19,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/11,41.43,115
116 Sydney - Blacktown,1/11/11,24.91,116
117 Sydney - City and Inner South,1/11/11,53.03,117
118 Sydney - Eastern Suburbs,1/11/11,51.32,118
119 Sydney - Inner South West,1/11/11,33.2,119
120 Sydney - Inner West,1/11/11,47.27,120
121 Sydney - North Sydney and Hornsby,1/11/11,60.92,121
122 Sydney - Northern Beaches,1/11/11,47.96,122
123 Sydney - Outer South West,1/11/11,27.78,123
124 Sydney - Outer West and Blue Mountains,1/11/11,26.28,124
125 Sydney - Parramatta,1/11/11,33.05,125
126 Sydney - Ryde,1/11/11,45.81,126
127 Sydney - South West,1/11/11,22.51,127
128 Sydney - Sutherland,1/11/11,36.58,128
101 Capital Region,1/11/11,36.33,101
103 New South Wales - Central West,1/11/11,27.08,103
104 Coffs Harbour - Grafton,1/11/11,27.09,104
105 Far West and Orana,1/11/11,35.95,105
106 Hunter Valley exc Newcastle,1/11/11,21.81,106
107 Illawarra,1/11/11,32.26,107
108 Mid North Coast,1/11/11,27.68,108
109 Murray,1/11/11,42.13,109
110 New England and North West,1/11/11,26.48,110
111 Newcastle and Lake Macquarie,1/11/11,32.72,111
112 Richmond - Tweed,1/11/11,32.22,112
113 Riverina,1/11/11,32.36,113
114 Southern Highlands and Shoalhaven,1/11/11,25.53,114
206 Melbourne - Inner,1/11/11,54.36,206
207 Melbourne - Inner East,1/11/11,53.09,207
208 Melbourne - Inner South,1/11/11,49.67,208
209 Melbourne - North East,1/11/11,34.21,209
210 Melbourne - North West,1/11/11,28.42,210
211 Melbourne - Outer East,1/11/11,31.69,211
212 Melbourne - South East,1/11/11,27.23,212
213 Melbourne - West,1/11/11,26.34,213
214 Mornington Peninsula,1/11/11,29.01,214
201 Ballarat,1/11/11,27.61,201
202 Bendigo,1/11/11,35.18,202
203 Geelong,1/11/11,28.99,203
204 Hume,1/11/11,29.36,204
205 Latrobe - Gippsland,1/11/11,33.42,205
215 Victoria - North West,1/11/11,34.64,215
216 Shepparton,1/11/11,24.72,216
217 Warrnambool and South West,1/11/11,27.91,217
301 Brisbane - East,1/11/11,30.07,301
302 Brisbane - North,1/11/11,36.12,302
303 Brisbane - South,1/11/11,40.09,303
304 Brisbane - West,1/11/11,53.39,304
305 Brisbane Inner City,1/11/11,50.23,305
310 Ipswich,1/11/11,28.25,310
311 Logan - Beaudesert,1/11/11,24.83,311
313 Moreton Bay - North,1/11/11,20.62,313
314 Moreton Bay - South,1/11/11,34.28,314
306 Cairns,1/11/11,26.81,306
307 Darling Downs - Maranoa,1/11/11,33.76,307
308 Fitzroy,1/11/11,24.17,308
309 Gold Coast,1/11/11,29.25,309
312 Mackay,1/11/11,24.55,312
315 Queensland - Outback,1/11/11,34.48,315
316 Sunshine Coast,1/11/11,33.12,316
317 Toowoomba,1/11/11,38.06,317
318 Townsville,1/11/11,28.88,318
319 Wide Bay,1/11/11,22.64,319
401 Adelaide - Central and Hills,1/11/11,45.46,401
402 Adelaide - North,1/11/11,25.79,402
403 Adelaide - South,1/11/11,35.03,403
404 Adelaide - West,1/11/11,29.12,404
405 Barossa - Yorke - Mid North,1/11/11,34.27,405
406 South Australia - Outback,1/11/11,30.35,406
407 South Australia - South East,1/11/11,29.86,407
502 Mandurah,1/11/11,23.43,502
503 Perth - Inner,1/11/11,53.61,503
504 Perth - North East,1/11/11,30.33,504
505 Perth - North West,1/11/11,32.92,505
506 Perth - South East,1/11/11,28.48,506
507 Perth - South West,1/11/11,30.31,507
501 Bunbury,1/11/11,21.22,501
508 Western Australia - Outback,1/11/11,26.59,508
509 Western Australia - Wheat Belt,1/11/11,40.18,509
601 Hobart,1/11/11,34.94,601
602 Launceston and North East,1/11/11,31.09,602
603 Tasmania - South East,1/11/11,32.05,603
604 Tasmania - West and North West,1/11/11,25.21,604
701 Darwin,1/11/11,34.11,701
702 Northern Territory - Outback,1/11/11,33.92,702
801 Australian Capital Territory,1/11/11,45.35,801
102 Central Coast,1/11/12,23.25,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/12,41.48,115
116 Sydney - Blacktown,1/11/12,26.32,116
117 Sydney - City and Inner South,1/11/12,55.75,117
118 Sydney - Eastern Suburbs,1/11/12,53.35,118
119 Sydney - Inner South West,1/11/12,32.3,119
120 Sydney - Inner West,1/11/12,49.49,120
121 Sydney - North Sydney and Hornsby,1/11/12,60.25,121
122 Sydney - Northern Beaches,1/11/12,46.04,122
123 Sydney - Outer South West,1/11/12,30.36,123
124 Sydney - Outer West and Blue Mountains,1/11/12,31.09,124
125 Sydney - Parramatta,1/11/12,34.99,125
126 Sydney - Ryde,1/11/12,47.54,126
127 Sydney - South West,1/11/12,23.18,127
128 Sydney - Sutherland,1/11/12,35.54,128
101 Capital Region,1/11/12,39.18,101
103 New South Wales - Central West,1/11/12,21.5,103
104 Coffs Harbour - Grafton,1/11/12,28.9,104
105 Far West and Orana,1/11/12,36.2,105
106 Hunter Valley exc Newcastle,1/11/12,24.64,106
107 Illawarra,1/11/12,30.55,107
108 Mid North Coast,1/11/12,29.21,108
109 Murray,1/11/12,33.34,109
110 New England and North West,1/11/12,26.51,110
111 Newcastle and Lake Macquarie,1/11/12,32.57,111
112 Richmond - Tweed,1/11/12,31.25,112
113 Riverina,1/11/12,28.75,113
114 Southern Highlands and Shoalhaven,1/11/12,27.76,114
206 Melbourne - Inner,1/11/12,57.25,206
207 Melbourne - Inner East,1/11/12,51.72,207
208 Melbourne - Inner South,1/11/12,50.36,208
209 Melbourne - North East,1/11/12,36.35,209
210 Melbourne - North West,1/11/12,22.13,210
211 Melbourne - Outer East,1/11/12,34.47,211
212 Melbourne - South East,1/11/12,27.28,212
213 Melbourne - West,1/11/12,27.36,213
214 Mornington Peninsula,1/11/12,31.06,214
201 Ballarat,1/11/12,23.36,201
202 Bendigo,1/11/12,38.55,202
203 Geelong,1/11/12,34.26,203
204 Hume,1/11/12,30.22,204
205 Latrobe - Gippsland,1/11/12,28.95,205
215 Victoria - North West,1/11/12,35.36,215
216 Shepparton,1/11/12,30.97,216
217 Warrnambool and South West,1/11/12,32.54,217
301 Brisbane - East,1/11/12,33.83,301
302 Brisbane - North,1/11/12,35.36,302
303 Brisbane - South,1/11/12,38.91,303
304 Brisbane - West,1/11/12,53.1,304
305 Brisbane Inner City,1/11/12,52.24,305
310 Ipswich,1/11/12,26,310
311 Logan - Beaudesert,1/11/12,23.95,311
313 Moreton Bay - North,1/11/12,19.06,313
314 Moreton Bay - South,1/11/12,31.37,314
306 Cairns,1/11/12,26.42,306
307 Darling Downs - Maranoa,1/11/12,31.4,307
308 Fitzroy,1/11/12,24.28,308
309 Gold Coast,1/11/12,30.03,309
312 Mackay,1/11/12,25.55,312
315 Queensland - Outback,1/11/12,36.95,315
316 Sunshine Coast,1/11/12,38.52,316
317 Toowoomba,1/11/12,34.86,317
318 Townsville,1/11/12,28.26,318
319 Wide Bay,1/11/12,25.69,319
401 Adelaide - Central and Hills,1/11/12,47.67,401
402 Adelaide - North,1/11/12,27.21,402
403 Adelaide - South,1/11/12,33.52,403
404 Adelaide - West,1/11/12,28.96,404
405 Barossa - Yorke - Mid North,1/11/12,30.62,405
406 South Australia - Outback,1/11/12,29.53,406
407 South Australia - South East,1/11/12,31.63,407
502 Mandurah,1/11/12,29.28,502
503 Perth - Inner,1/11/12,54.45,503
504 Perth - North East,1/11/12,27.74,504
505 Perth - North West,1/11/12,31.91,505
506 Perth - South East,1/11/12,31.51,506
507 Perth - South West,1/11/12,30.59,507
501 Bunbury,1/11/12,21.88,501
508 Western Australia - Outback,1/11/12,26.97,508
509 Western Australia - Wheat Belt,1/11/12,36.72,509
601 Hobart,1/11/12,36.75,601
602 Launceston and North East,1/11/12,32.23,602
603 Tasmania - South East,1/11/12,26.08,603
604 Tasmania - West and North West,1/11/12,28.27,604
701 Darwin,1/11/12,33.75,701
702 Northern Territory - Outback,1/11/12,33.82,702
801 Australian Capital Territory,1/11/12,46.78,801
102 Central Coast,1/11/13,28.97,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/13,42.86,115
116 Sydney - Blacktown,1/11/13,26.59,116
117 Sydney - City and Inner South,1/11/13,53.88,117
118 Sydney - Eastern Suburbs,1/11/13,58.22,118
119 Sydney - Inner South West,1/11/13,33.66,119
120 Sydney - Inner West,1/11/13,48.7,120
121 Sydney - North Sydney and Hornsby,1/11/13,59.35,121
122 Sydney - Northern Beaches,1/11/13,46.16,122
123 Sydney - Outer South West,1/11/13,26.08,123
124 Sydney - Outer West and Blue Mountains,1/11/13,29.77,124
125 Sydney - Parramatta,1/11/13,34.32,125
126 Sydney - Ryde,1/11/13,45.97,126
127 Sydney - South West,1/11/13,24.15,127
128 Sydney - Sutherland,1/11/13,36.06,128
101 Capital Region,1/11/13,33.86,101
103 New South Wales - Central West,1/11/13,29.61,103
104 Coffs Harbour - Grafton,1/11/13,29.72,104
105 Far West and Orana,1/11/13,35.62,105
106 Hunter Valley exc Newcastle,1/11/13,26.13,106
107 Illawarra,1/11/13,29.8,107
108 Mid North Coast,1/11/13,24.31,108
109 Murray,1/11/13,26.36,109
110 New England and North West,1/11/13,26.96,110
111 Newcastle and Lake Macquarie,1/11/13,31.01,111
112 Richmond - Tweed,1/11/13,31.82,112
113 Riverina,1/11/13,30.4,113
114 Southern Highlands and Shoalhaven,1/11/13,28.81,114
206 Melbourne - Inner,1/11/13,57.2,206
207 Melbourne - Inner East,1/11/13,52.38,207
208 Melbourne - Inner South,1/11/13,47.62,208
209 Melbourne - North East,1/11/13,33.21,209
210 Melbourne - North West,1/11/13,30.65,210
211 Melbourne - Outer East,1/11/13,34.56,211
212 Melbourne - South East,1/11/13,29.29,212
213 Melbourne - West,1/11/13,28.87,213
214 Mornington Peninsula,1/11/13,32.62,214
201 Ballarat,1/11/13,29.04,201
202 Bendigo,1/11/13,30.88,202
203 Geelong,1/11/13,33.29,203
204 Hume,1/11/13,33,204
205 Latrobe - Gippsland,1/11/13,30.63,205
215 Victoria - North West,1/11/13,29.13,215
216 Shepparton,1/11/13,32.07,216
217 Warrnambool and South West,1/11/13,37.42,217
301 Brisbane - East,1/11/13,29.49,301
302 Brisbane - North,1/11/13,34.76,302
303 Brisbane - South,1/11/13,39.69,303
304 Brisbane - West,1/11/13,52.82,304
305 Brisbane Inner City,1/11/13,53.73,305
310 Ipswich,1/11/13,25.41,310
311 Logan - Beaudesert,1/11/13,21.71,311
313 Moreton Bay - North,1/11/13,21.54,313
314 Moreton Bay - South,1/11/13,31.63,314
306 Cairns,1/11/13,25.34,306
307 Darling Downs - Maranoa,1/11/13,30.62,307
308 Fitzroy,1/11/13,23.71,308
309 Gold Coast,1/11/13,30.83,309
312 Mackay,1/11/13,22.44,312
315 Queensland - Outback,1/11/13,26.82,315
316 Sunshine Coast,1/11/13,28.46,316
317 Toowoomba,1/11/13,29.6,317
318 Townsville,1/11/13,26.15,318
319 Wide Bay,1/11/13,26.72,319
401 Adelaide - Central and Hills,1/11/13,49.01,401
402 Adelaide - North,1/11/13,26.58,402
403 Adelaide - South,1/11/13,32.07,403
404 Adelaide - West,1/11/13,27.86,404
405 Barossa - Yorke - Mid North,1/11/13,32.18,405
406 South Australia - Outback,1/11/13,29.58,406
407 South Australia - South East,1/11/13,27.56,407
502 Mandurah,1/11/13,24.36,502
503 Perth - Inner,1/11/13,56.79,503
504 Perth - North East,1/11/13,29.44,504
505 Perth - North West,1/11/13,33.06,505
506 Perth - South East,1/11/13,30.88,506
507 Perth - South West,1/11/13,30.83,507
501 Bunbury,1/11/13,25.72,501
508 Western Australia - Outback,1/11/13,26,508
509 Western Australia - Wheat Belt,1/11/13,34.58,509
601 Hobart,1/11/13,33.77,601
602 Launceston and North East,1/11/13,31.51,602
603 Tasmania - South East,1/11/13,26.68,603
604 Tasmania - West and North West,1/11/13,26.85,604
701 Darwin,1/11/13,31.9,701
702 Northern Territory - Outback,1/11/13,32.18,702
801 Australian Capital Territory,1/11/13,48.44,801
102 Central Coast,1/11/14,30.43,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/14,41.74,115
116 Sydney - Blacktown,1/11/14,26.24,116
117 Sydney - City and Inner South,1/11/14,56.55,117
118 Sydney - Eastern Suburbs,1/11/14,54.78,118
119 Sydney - Inner South West,1/11/14,35.92,119
120 Sydney - Inner West,1/11/14,50.97,120
121 Sydney - North Sydney and Hornsby,1/11/14,58.63,121
122 Sydney - Northern Beaches,1/11/14,52.58,122
123 Sydney - Outer South West,1/11/14,25.67,123
124 Sydney - Outer West and Blue Mountains,1/11/14,28.73,124
125 Sydney - Parramatta,1/11/14,36.73,125
126 Sydney - Ryde,1/11/14,51.71,126
127 Sydney - South West,1/11/14,25.02,127
128 Sydney - Sutherland,1/11/14,39.62,128
101 Capital Region,1/11/14,26.92,101
103 New South Wales - Central West,1/11/14,31.69,103
104 Coffs Harbour - Grafton,1/11/14,29.41,104
105 Far West and Orana,1/11/14,35.51,105
106 Hunter Valley exc Newcastle,1/11/14,22.58,106
107 Illawarra,1/11/14,32.43,107
108 Mid North Coast,1/11/14,32.35,108
109 Murray,1/11/14,28.01,109
110 New England and North West,1/11/14,22.6,110
111 Newcastle and Lake Macquarie,1/11/14,32.15,111
112 Richmond - Tweed,1/11/14,29.99,112
113 Riverina,1/11/14,37.66,113
114 Southern Highlands and Shoalhaven,1/11/14,24.28,114
206 Melbourne - Inner,1/11/14,56.65,206
207 Melbourne - Inner East,1/11/14,54.04,207
208 Melbourne - Inner South,1/11/14,47.99,208
209 Melbourne - North East,1/11/14,33.34,209
210 Melbourne - North West,1/11/14,30.37,210
211 Melbourne - Outer East,1/11/14,34.55,211
212 Melbourne - South East,1/11/14,29.56,212
213 Melbourne - West,1/11/14,30.25,213
214 Mornington Peninsula,1/11/14,31.37,214
201 Ballarat,1/11/14,40.18,201
202 Bendigo,1/11/14,31.86,202
203 Geelong,1/11/14,33.32,203
204 Hume,1/11/14,34.07,204
205 Latrobe - Gippsland,1/11/14,32.88,205
215 Victoria - North West,1/11/14,28.65,215
216 Shepparton,1/11/14,37.97,216
217 Warrnambool and South West,1/11/14,39.37,217
301 Brisbane - East,1/11/14,29.4,301
302 Brisbane - North,1/11/14,38.03,302
303 Brisbane - South,1/11/14,37.07,303
304 Brisbane - West,1/11/14,53.34,304
305 Brisbane Inner City,1/11/14,53.26,305
310 Ipswich,1/11/14,24.61,310
311 Logan - Beaudesert,1/11/14,23.16,311
313 Moreton Bay - North,1/11/14,22.49,313
314 Moreton Bay - South,1/11/14,31.48,314
306 Cairns,1/11/14,24.18,306
307 Darling Downs - Maranoa,1/11/14,24.07,307
308 Fitzroy,1/11/14,31.27,308
309 Gold Coast,1/11/14,30.29,309
312 Mackay,1/11/14,20.19,312
315 Queensland - Outback,1/11/14,33.04,315
316 Sunshine Coast,1/11/14,29.72,316
317 Toowoomba,1/11/14,28.83,317
318 Townsville,1/11/14,22.49,318
319 Wide Bay,1/11/14,31.37,319
401 Adelaide - Central and Hills,1/11/14,49.02,401
402 Adelaide - North,1/11/14,26.27,402
403 Adelaide - South,1/11/14,32.54,403
404 Adelaide - West,1/11/14,31.96,404
405 Barossa - Yorke - Mid North,1/11/14,34.22,405
406 South Australia - Outback,1/11/14,30.95,406
407 South Australia - South East,1/11/14,28.03,407
502 Mandurah,1/11/14,26.42,502
503 Perth - Inner,1/11/14,55.23,503
504 Perth - North East,1/11/14,28.95,504
505 Perth - North West,1/11/14,33.5,505
506 Perth - South East,1/11/14,32.32,506
507 Perth - South West,1/11/14,33.02,507
501 Bunbury,1/11/14,31.21,501
508 Western Australia - Outback,1/11/14,21.51,508
509 Western Australia - Wheat Belt,1/11/14,32.3,509
601 Hobart,1/11/14,33.63,601
602 Launceston and North East,1/11/14,31.84,602
603 Tasmania - South East,1/11/14,30.5,603
604 Tasmania - West and North West,1/11/14,25.41,604
701 Darwin,1/11/14,32.72,701
702 Northern Territory - Outback,1/11/14,34.32,702
801 Australian Capital Territory,1/11/14,46.66,801
102 Central Coast,1/11/15,31.09,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/15,43.26,115
116 Sydney - Blacktown,1/11/15,29.25,116
117 Sydney - City and Inner South,1/11/15,55.24,117
118 Sydney - Eastern Suburbs,1/11/15,59.27,118
119 Sydney - Inner South West,1/11/15,33.22,119
120 Sydney - Inner West,1/11/15,51.75,120
121 Sydney - North Sydney and Hornsby,1/11/15,60.56,121
122 Sydney - Northern Beaches,1/11/15,47.03,122
123 Sydney - Outer South West,1/11/15,27.59,123
124 Sydney - Outer West and Blue Mountains,1/11/15,32.99,124
125 Sydney - Parramatta,1/11/15,33.84,125
126 Sydney - Ryde,1/11/15,52.91,126
127 Sydney - South West,1/11/15,24.08,127
128 Sydney - Sutherland,1/11/15,34.87,128
101 Capital Region,1/11/15,34.57,101
103 New South Wales - Central West,1/11/15,31.44,103
104 Coffs Harbour - Grafton,1/11/15,26.23,104
105 Far West and Orana,1/11/15,28.58,105
106 Hunter Valley exc Newcastle,1/11/15,24.92,106
107 Illawarra,1/11/15,33.65,107
108 Mid North Coast,1/11/15,29.68,108
109 Murray,1/11/15,25.03,109
110 New England and North West,1/11/15,25.49,110
111 Newcastle and Lake Macquarie,1/11/15,33.96,111
112 Richmond - Tweed,1/11/15,30.63,112
113 Riverina,1/11/15,38.36,113
114 Southern Highlands and Shoalhaven,1/11/15,25.92,114
206 Melbourne - Inner,1/11/15,56.84,206
207 Melbourne - Inner East,1/11/15,52.68,207
208 Melbourne - Inner South,1/11/15,50.76,208
209 Melbourne - North East,1/11/15,33.86,209
210 Melbourne - North West,1/11/15,30.02,210
211 Melbourne - Outer East,1/11/15,33.67,211
212 Melbourne - South East,1/11/15,29.11,212
213 Melbourne - West,1/11/15,31.68,213
214 Mornington Peninsula,1/11/15,27.96,214
201 Ballarat,1/11/15,39.02,201
202 Bendigo,1/11/15,34.83,202
203 Geelong,1/11/15,33.56,203
204 Hume,1/11/15,35.89,204
205 Latrobe - Gippsland,1/11/15,31,205
215 Victoria - North West,1/11/15,34.71,215
216 Shepparton,1/11/15,36.82,216
217 Warrnambool and South West,1/11/15,33.14,217
301 Brisbane - East,1/11/15,33.38,301
302 Brisbane - North,1/11/15,40.59,302
303 Brisbane - South,1/11/15,40.94,303
304 Brisbane - West,1/11/15,49.35,304
305 Brisbane Inner City,1/11/15,50.8,305
310 Ipswich,1/11/15,26,310
311 Logan - Beaudesert,1/11/15,21.76,311
313 Moreton Bay - North,1/11/15,21.94,313
314 Moreton Bay - South,1/11/15,31.39,314
306 Cairns,1/11/15,35.4,306
307 Darling Downs - Maranoa,1/11/15,24.56,307
308 Fitzroy,1/11/15,31.62,308
309 Gold Coast,1/11/15,30.98,309
312 Mackay,1/11/15,23.59,312
315 Queensland - Outback,1/11/15,29.66,315
316 Sunshine Coast,1/11/15,31.5,316
317 Toowoomba,1/11/15,30.27,317
318 Townsville,1/11/15,27.41,318
319 Wide Bay,1/11/15,30.72,319
401 Adelaide - Central and Hills,1/11/15,48.76,401
402 Adelaide - North,1/11/15,25.71,402
403 Adelaide - South,1/11/15,34,403
404 Adelaide - West,1/11/15,32.91,404
405 Barossa - Yorke - Mid North,1/11/15,35.1,405
406 South Australia - Outback,1/11/15,36.81,406
407 South Australia - South East,1/11/15,31.59,407
502 Mandurah,1/11/15,25.67,502
503 Perth - Inner,1/11/15,55.08,503
504 Perth - North East,1/11/15,30.18,504
505 Perth - North West,1/11/15,34.53,505
506 Perth - South East,1/11/15,30.87,506
507 Perth - South West,1/11/15,32.52,507
501 Bunbury,1/11/15,28.94,501
508 Western Australia - Outback,1/11/15,22.79,508
509 Western Australia - Wheat Belt,1/11/15,30.19,509
601 Hobart,1/11/15,33.92,601
602 Launceston and North East,1/11/15,29.21,602
603 Tasmania - South East,1/11/15,30.11,603
604 Tasmania - West and North West,1/11/15,24.9,604
701 Darwin,1/11/15,30.35,701
702 Northern Territory - Outback,1/11/15,32.92,702
801 Australian Capital Territory,1/11/15,46.08,801
102 Central Coast,1/11/16,33.21,102
115 Sydney - Baulkham Hills and Hawkesbury,1/11/16,49.72,115
116 Sydney - Blacktown,1/11/16,31.34,116
117 Sydney - City and Inner South,1/11/16,58.05,117
118 Sydney - Eastern Suburbs,1/11/16,59.43,118
119 Sydney - Inner South West,1/11/16,32.8,119
120 Sydney - Inner West,1/11/16,50.44,120
121 Sydney - North Sydney and Hornsby,1/11/16,61.26,121
122 Sydney - Northern Beaches,1/11/16,48.37,122
123 Sydney - Outer South West,1/11/16,26.17,123
